,De #1,De #2,De #3,De #4,De #5,Somme
0,1,1,0,0,0,2
1,1,0,1,1,1,4
2,1,0,6,0,0,7
3,1,0,1,5,5,12
4,0,0,0,1,4,5
5,0,0,0,4,5,9
6,1,0,0,1,4,6
7,0,0,2,2,2,6
8,1,5,0,0,2,8
9,0,0,0,1,1,2
10,2,0,1,1,0,4
11,1,1,1,1,5,9
12,1,1,0,0,2,4
13,1,0,0,5,2,8
14,1,0,2,1,1,5
15,1,4,1,5,0,11
16,1,0,6,1,5,13
17,1,0,2,0,5,8
18,0,0,1,5,1,7
19,1,0,1,0,0,2
20,1,0,0,0,4,5
21,1,0,2,2,0,5
22,2,1,0,0,0,3
23,1,0,1,0,2,4
24,1,1,5,5,2,14
25,0,0,0,0,1,1
26,0,0,2,0,1,3
27,0,1,1,0,2,4
28,0,1,0,0,0,1
29,0,0,0,0,4,4
30,1,1,1,0,5,8
31,0,0,1,4,4,9
32,0,1,0,0,0,1
33,0,1,0,0,2,3
34,0,1,2,4,1,8
35,1,0,0,1,1,3
36,0,0,5,2,4,11
37,1,1,1,1,1,5
38,2,2,0,1,4,9
39,0,2,1,0,0,3
40,1,0,0,1,0,2
41,0,0,1,0,2,3
42,0,1,4,0,4,9
43,1,0,1,1,4,7
44,1,0,1,6,0,8
45,1,0,1,1,1,4
46,0,0,0,1,0,1
47,0,1,4,0,1,6
48,1,0,2,0,0,3
49,0,1,1,5,0,7
50,0,4,4,2,4,14
51,2,0,1,1,1,5
52,0,0,0,1,1,2
53,4,1,0,0,6,11
54,1,1,2,1,1,6
55,1,0,0,5,6,12
56,0,0,2,5,0,7
57,1,1,1,0,6,9
58,1,1,0,2,5,9
59,0,1,0,0,1,2
60,0,0,0,0,0,0
61,0,1,0,0,4,5
62,1,0,2,1,6,10
63,0,0,2,4,0,6
64,2,0,0,2,2,6
65,0,0,0,2,4,6
66,2,1,0,2,1,6
67,1,1,2,2,2,8
68,0,0,0,5,2,7
69,1,0,0,0,1,2
70,0,0,0,0,5,5
71,0,1,1,1,0,3
72,0,0,0,2,6,8
73,1,0,2,2,0,5
74,0,0,0,0,0,0
75,2,1,0,0,6,9
76,0,1,1,0,1,3
77,2,2,1,1,2,8
78,0,0,0,4,2,6
79,0,0,0,0,1,1
80,1,1,5,5,5,17
81,0,0,0,1,5,6
82,0,0,1,0,5,6
83,0,0,1,0,2,3
84,0,1,4,0,0,5
85,0,1,1,1,0,3
86,0,0,1,4,5,10
87,0,1,1,1,0,3
88,1,1,0,1,2,5
89,1,0,1,1,6,9
90,1,0,0,1,0,2
91,0,0,1,1,4,6
92,1,0,0,1,2,4
93,2,0,0,1,6,9
94,0,1,0,2,1,4
95,0,0,0,1,0,1
96,0,2,0,1,0,3
97,1,0,0,1,5,7
98,1,0,2,0,6,9
99,0,0,1,0,1,2
100,2,1,0,1,6,10
101,2,1,0,0,5,8
102,1,2,2,2,5,12
103,1,0,1,2,5,9
